entity,CM,ARR,CHD,VD,IHD,CCD,VOO,OTH
Q05086,0.0,2.3395470021844264e-06,1.9265053743068223e-06,0.0,0.0,0.0,0.0,0.00015471120462321413
P49771,1.154087783670235e-05,0.0,0.0,0.0,6.714884725837008e-06,0.0,0.0,0.0
P01583,3.487801860150956e-05,0.0,1.924931716527357e-06,0.0,0.0002644780017849542,0.0,0.0,4.158209494365021e-05
P08397,8.947089443969536e-07,2.3408680287038157e-06,0.0,0.0,7.240621282312804e-07,0.0,0.0,0.0
P08670,2.980519468309972e-05,1.1733672140549946e-05,1.9247060035035796e-06,1.6252221155601234e-05,0.00015626526398826188,0.0,9.507718390258045e-06,6.54990591218884e-05
P11150,3.7335249154177935e-05,1.3960723747852351e-05,6.080889943641254e-06,3.868947685933472e-05,0.0008772978629237558,0.0,0.00011348277519542469,3.571683082262299e-05
Q04609,8.945405339971156e-07,0.0,0.0,0.0,2.8258180796412597e-05,0.0,0.0,6.979086879213464e-06
Q14994,0.0,0.0,1.9276560162073912e-06,0.0,0.0,0.0,0.0,0.0
Q13057,8.947305987345125e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.390088860532305e-06
Q8IYK8,0.0,7.411581822173839e-06,0.0,0.0,0.0,2.3010404968203033e-05,0.0,0.0
P04439,0.0,0.0,1.7858803209200618e-05,0.0,7.24018183793868e-07,0.0,0.0,0.0
Q9NSE2,0.0,2.3407888281598553e-06,1.9275279587701323e-06,0.0,7.240376304322955e-07,0.0,0.0,1.3900081865970097e-06
O95405-1,0.0,0.0,1.8304226416288167e-05,0.0,0.0,0.0,0.0,0.0
Q7KZN9,8.947107159796985e-07,0.0,0.0,3.2425621041172415e-06,0.0,0.0,0.0,0.0
Q8IWL3,8.947494926581655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P31785,0.0,0.0,1.9276560162073912e-06,0.0,0.0,0.0,0.0,0.0
Q14330,2.9693227386813058e-05,0.0,0.0,0.0,4.339068958426655e-06,0.0,0.0,2.042375961631192e-05
P62310,0.0,0.0,1.9276560162073912e-06,0.0,0.0,0.0,0.0,0.0
P05814,0.0,0.0,0.0,0.0,9.340579280646174e-06,0.0,0.0,0.0
Q9UDW1,0.0,0.0,0.0,0.0,2.2942126378287874e-06,0.0,0.0,0.0
P49682,0.0001753400731954011,0.0,1.92342046347928e-06,0.0,0.00027971337377819466,0.0,0.0,0.00013646318729447217
P49716,8.947387663989696e-07,0.0,0.0,0.0,7.240862623168766e-07,0.0,0.0,0.0
O75030,8.436641953816895e-05,0.0,1.923194065870145e-06,0.0,0.00016553478208750118,0.0,0.0,0.00045806248374315065
P62502,8.947305987345125e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.390088860532305e-06
O15519-1,5.61583430348005e-05,0.00014474521720040664,1.9243031871159204e-06,0.0,0.00014569581733206996,0.0,0.0,4.1568517542728995e-05
